Year,Month,DOMESTIC,Code
2003,1,712522,CLT
2003,2,716877,CLT
2003,3,921831,CLT
2003,4,884202,CLT
2003,5,939978,CLT
2003,6,957352,CLT
2003,7,1022775,CLT
2003,8,972861,CLT
2003,9,772265,CLT
2003,10,957982,CLT
2003,11,909006,CLT
2003,12,935284,CLT
2004,1,789665,CLT
2004,2,810037,CLT
2004,3,1001728,CLT
2004,4,1031492,CLT
2004,5,989577,CLT
2004,6,1025136,CLT
2004,7,1072443,CLT
2004,8,986320,CLT
2004,9,841196,CLT
2004,10,1044518,CLT
2004,11,1002336,CLT
2004,12,995971,CLT
2005,1,904022,CLT
2005,2,946443,CLT
2005,3,1230758,CLT
2005,4,1133711,CLT
2005,5,1171461,CLT
2005,6,1197573,CLT
2005,7,1227641,CLT
2005,8,1104714,CLT
2005,9,977628,CLT
2005,10,1076467,CLT
2005,11,1032786,CLT
2005,12,1008629,CLT
2006,1,937852,CLT
2006,2,964428,CLT
2006,3,1206871,CLT
2006,4,1173745,CLT
2006,5,1228585,CLT
2006,6,1212563,CLT
2006,7,1229298,CLT
2006,8,1167305,CLT
2006,9,1038016,CLT
2006,10,1203711,CLT
2006,11,1196615,CLT
2006,12,1161321,CLT
2007,1,1140818,CLT
2007,2,1091294,CLT
2007,3,1328824,CLT
2007,4,1313657,CLT
2007,5,1383588,CLT
2007,6,1358508,CLT
2007,7,1414464,CLT
2007,8,1397273,CLT
2007,9,1214884,CLT
2007,10,1373268,CLT
2007,11,1296389,CLT
2007,12,1207906,CLT
2008,1,1211535,CLT
2008,2,1214082,CLT
2008,3,1376621,CLT
2008,4,1341599,CLT
2008,5,1421972,CLT
2008,6,1416444,CLT
2008,7,1463552,CLT
2008,8,1424228,CLT
2008,9,1272235,CLT
2008,10,1406740,CLT
2008,11,1263974,CLT
2008,12,1306693,CLT
2009,1,1217314,CLT
2009,2,1163523,CLT
2009,3,1353205,CLT
2009,4,1372435,CLT
2009,5,1396301,CLT
2009,6,1418164,CLT
2009,7,1468893,CLT
2009,8,1385339,CLT
2009,9,1253706,CLT
2009,10,1394931,CLT
2009,11,1269802,CLT
2009,12,1302815,CLT
2010,1,1214274,CLT
2010,2,1169344,CLT
2010,3,1400142,CLT
2010,4,1398199,CLT
2010,5,1481311,CLT
2010,6,1521287,CLT
2010,7,1535311,CLT
2010,8,1540155,CLT
2010,9,1485439,CLT
2010,10,1614739,CLT
2010,11,1486083,CLT
2010,12,1445312,CLT
2011,1,1314511,CLT
2011,2,1275944,CLT
2011,3,1527975,CLT
2011,4,1465186,CLT
2011,5,1579461,CLT
2011,6,1548571,CLT
2011,7,1570513,CLT
2011,8,1495616,CLT
2011,9,1392044,CLT
2011,10,1482965,CLT
2011,11,1473365,CLT
2011,12,1478320,CLT
2012,1,1427153,CLT
2012,2,1389749,CLT
2012,3,1589213,CLT
2012,4,1532792,CLT
2012,5,1621369,CLT
2012,6,1580572,CLT
2012,7,1598145,CLT
2012,8,1641396,CLT
2012,9,1470192,CLT
2012,10,1591620,CLT
2012,11,1584498,CLT
2012,12,1540837,CLT
2013,1,1496250,CLT
2013,2,1491880,CLT
2013,3,1672432,CLT
2013,4,1617407,CLT
2013,5,1731871,CLT
